type,x_cm,y_cm,z_cm,radius_cm
BISO,0.00000000,0.00000000,0.00000000,0.05001000
Be,-0.10395769,-0.10395769,-0.10395769,0.03001000
Be,-0.10395769,-0.10395769,-0.03465256,0.03001000
Be,-0.10395769,-0.10395769,0.03465256,0.03001000
Be,-0.10395769,-0.10395769,0.10395769,0.03001000
Be,-0.10395769,-0.03465256,-0.10395769,0.03001000
Be,-0.10395769,-0.03465256,-0.03465256,0.03001000
Be,-0.10395769,-0.03465256,0.03465256,0.03001000
Be,-0.10395769,-0.03465256,0.10395769,0.03001000
Be,-0.10395769,0.03465256,-0.10395769,0.03001000
Be,-0.10395769,0.03465256,-0.03465256,0.03001000
Be,-0.10395769,0.03465256,0.03465256,0.03001000
Be,-0.10395769,0.03465256,0.10395769,0.03001000
Be,-0.10395769,0.10395769,-0.10395769,0.03001000
Be,-0.10395769,0.10395769,-0.03465256,0.03001000
Be,-0.10395769,0.10395769,0.03465256,0.03001000
Be,-0.10395769,0.10395769,0.10395769,0.03001000
Be,-0.03465256,-0.10395769,-0.10395769,0.03001000
Be,-0.03465256,-0.10395769,-0.03465256,0.03001000
Be,-0.03465256,-0.10395769,0.03465256,0.03001000
Be,-0.03465256,-0.10395769,0.10395769,0.03001000
Be,-0.03465256,-0.03465256,-0.10395769,0.03001000
Be,-0.03465256,-0.03465256,0.10395769,0.03001000
Be,-0.03465256,0.03465256,-0.10395769,0.03001000
Be,-0.03465256,0.03465256,0.10395769,0.03001000
Be,-0.03465256,0.10395769,-0.10395769,0.03001000
Be,-0.03465256,0.10395769,-0.03465256,0.03001000
Be,-0.03465256,0.10395769,0.03465256,0.03001000
Be,-0.03465256,0.10395769,0.10395769,0.03001000
Be,0.03465256,-0.10395769,-0.10395769,0.03001000
Be,0.03465256,-0.10395769,-0.03465256,0.03001000
Be,0.03465256,-0.10395769,0.03465256,0.03001000
Be,0.03465256,-0.10395769,0.10395769,0.03001000
Be,0.03465256,-0.03465256,-0.10395769,0.03001000
Be,0.03465256,-0.03465256,0.10395769,0.03001000
Be,0.03465256,0.03465256,-0.10395769,0.03001000
Be,0.03465256,0.03465256,0.10395769,0.03001000
Be,0.03465256,0.10395769,-0.10395769,0.03001000
Be,0.03465256,0.10395769,-0.03465256,0.03001000
Be,0.03465256,0.10395769,0.03465256,0.03001000
Be,0.03465256,0.10395769,0.10395769,0.03001000
Be,0.10395769,-0.10395769,-0.10395769,0.03001000
Be,0.10395769,-0.10395769,-0.03465256,0.03001000
Be,0.10395769,-0.10395769,0.03465256,0.03001000
Be,0.10395769,-0.10395769,0.10395769,0.03001000
Be,0.10395769,-0.03465256,-0.10395769,0.03001000
Be,0.10395769,-0.03465256,-0.03465256,0.03001000
Be,0.10395769,-0.03465256,0.03465256,0.03001000
Be,0.10395769,-0.03465256,0.10395769,0.03001000
Be,0.10395769,0.03465256,-0.10395769,0.03001000
Be,0.10395769,0.03465256,-0.03465256,0.03001000
Be,0.10395769,0.03465256,0.03465256,0.03001000
Be,0.10395769,0.03465256,0.10395769,0.03001000
Be,0.10395769,0.10395769,-0.10395769,0.03001000
Be,0.10395769,0.10395769,-0.03465256,0.03001000
Be,0.10395769,0.10395769,0.03465256,0.03001000
Be,0.10395769,0.10395769,0.10395769,0.03001000
Be,-0.06930513,-0.06930513,-0.06930513,0.03001000
Be,-0.06930513,-0.06930513,0.00000000,0.03001000
Be,-0.06930513,-0.06930513,0.06930513,0.03001000
Be,-0.06930513,0.00000000,-0.06930513,0.03001000
Be,-0.06930513,0.00000000,0.06930513,0.03001000
Be,-0.06930513,0.06930513,-0.06930513,0.03001000
Be,-0.06930513,0.06930513,0.00000000,0.03001000
Be,-0.06930513,0.06930513,0.06930513,0.03001000
Be,0.00000000,-0.06930513,-0.06930513,0.03001000
Li4SiO4,0.00704231,0.00404231,-0.06495769,0.01501000
Li4SiO4,0.07204231,0.07254231,0.00404231,0.01501000
Li4SiO4,-0.04545769,-0.03345769,0.03254231,0.01501000
Li4SiO4,-0.01045769,-0.06995769,0.00954231,0.01501000
Li4SiO4,-0.02895769,-0.03845769,-0.04995769,0.01501000
Li4SiO4,-0.00245769,0.03204231,-0.05745769,0.01501000
Li4SiO4,0.06904231,-0.00045769,0.11054231,0.01501000
Li4SiO4,0.06654231,0.03604231,0.00304231,0.01501000
Li4SiO4,0.06354231,0.06854231,0.05754231,0.01501000
Li4SiO4,0.11704231,0.07104231,-0.06695769,0.01501000
Li4SiO4,0.06004231,-0.04195769,0.05204231,0.01501000
Li4SiO4,0.06954231,-0.06595769,-0.10945769,0.01501000
Li4SiO4,0.06354231,-0.06445769,-0.05195769,0.01501000
Li4SiO4,-0.00845769,-0.06945769,0.05504231,0.01501000
Li4SiO4,0.07654231,-0.06995769,0.07154231,0.01501000
Li4SiO4,0.06254231,-0.07845769,0.00054231,0.01501000
Li4SiO4,0.00454231,-0.11895769,0.06504231,0.01501000
Li4SiO4,0.04054231,-0.03945769,-0.04095769,0.01501000
Li4SiO4,0.07204231,-0.00945769,-0.08145769,0.01501000
Li4SiO4,-0.07945769,-0.00495769,0.00604231,0.01501000
Li4SiO4,0.03704231,0.06354231,0.00404231,0.01501000
Li4SiO4,0.06454231,-0.01245769,0.04654231,0.01501000
Li4SiO4,0.06904231,-0.10895769,0.00354231,0.01501000
Li4SiO4,-0.00145769,0.06854231,0.01554231,0.01501000
Li4SiO4,-0.00495769,0.06454231,-0.05645769,0.01501000
